X,Y,City,State
-113.877958,52.177073,Springbrook,Alberta
-113.9035029,53.545204,Spruce Grove,Alberta
-114.311183,52.086202,Spruce View,Alberta
-111.295305,53.991116,St Paul,Alberta
-111.278133,54.151369,St Vincent,Alberta
-113.6288449,53.633239,St. Albert,Alberta
-111.2911139,53.9876467,St. Paul,Alberta
-113.30541,49.467998,Stand Off,Alberta
-112.9802088,51.1124509,Standard,Alberta
-113.6402943,50.1621453,Stavely,Alberta
-112.7130207,52.3228746,Stettler,Alberta
-112.5250819,49.503059,Stirling,Alberta
-113.9991033,53.52300005,Stony Plain,Alberta
-113.1263993,53.622532,Strathcona County,Alberta
-113.3998478,51.0435486,Strathmore,Alberta
-110.177596,53.42734,Streamstown,Alberta
-112.065882,52.81233,Strome,Alberta
-113.761995,53.866163,Sturgeon County,Alberta
-114.6393203,51.7970889,Sundre,Alberta
-114.347739,53.6924476,Sunset Point,Alberta
-113.319147,51.561011,Swalwell,Alberta
-115.4008257,54.7180657,Swan Hills,Alberta
-114.090839,52.3056132,Sylvan Lake,Alberta
-112.1371803,49.78178085,Taber,Alberta
-113.125807,54.153255,Thorhild,Alberta
-114.0506557,53.2273921,Thorsby,Alberta
-113.2666669,51.7,Three Hills,Alberta
-111.6523,50.4511,Tilley,Alberta
-112.6686536,53.3699134,Tofield,Alberta
-113.604267,51.794526,Torrington,Alberta
-113.2296509,51.8261473,Trochu,Alberta
-114.2791365,50.6739717,Turner Valley,Alberta
-111.7451244,53.7113163,Two Hills,Alberta
-114.3782667,53.669142,Val Quentin,Alberta
-117.2833329,55.066667,Valleyview,Alberta
-112.1,50.066667,Vauxhall,Alberta
-112.0499999,53.5,Vegreville,Alberta
-110.8542071,53.3527093,Vermilion,Alberta
-111.1213971,52.0008705,Veteran,Alberta
-111.7686922,53.0997621,Viking,Alberta
-111.9194439,54.116111,Vilna,Alberta
-113.650482,54.065058,Vimy,Alberta
-113.2632356,50.4016332,Vulcan,Alberta
-114.4684144,53.5598428,Wabamun,Alberta
-113.821553,56.01447,Wabasca,Alberta
-110.8612062,52.8374281,Wainwright,Alberta
-110.0474,49.9483,Walsh,Alberta
-112.465214,55.201392,Wandering River,Alberta
-118.388515,55.736396,Wanham,Alberta
-114.3188393,53.1812199,Warburg,Alberta
-112.2091409,49.283235,Warner,Alberta
-112.7864688,54.0966569,Waskatenau,Alberta
-114.610695,51.503704,Water Valley,Alberta
-113.916667,49.083333,Waterton,Alberta
-112.785344,49.478777,Welling,Alberta
-119.1394517,55.1553188,Wembley,Alberta
-114.4975963,53.7012373,West Cove,Alberta
-113.999669,52.95797,Westerose,Alberta
-113.8519901,54.1525241,Westlock,Alberta
-113.3679199,52.968492,Wetaskiwin,Alberta
-112.8100665,52.4693978,White Sands,Alberta
-115.6751168,54.1376057,Whitecourt,Alberta
-115.235548,53.609965,Wildwood,Alberta
-112.1144683,53.8272186,Willingdon,Alberta
-114.412859,52.963496,Winfield,Alberta
-119.1341,56.507923,Worsley,Alberta
-112.17219,49.523482,Wrentham,Alberta
-114.380714,53.7335433,Yellowstone,Alberta
-111.1996974,51.5276451,Youngstown,Alberta
-118.692777,59.152347,Zama City,Alberta
